query_type,query_id,query,chunking,repr,k,retrieved_files,retrieved_chunk_ids,answer_preview
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,3,,,The context does not contain this information....
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,5,,,The document mentions Gaza as a region where the UK provides humanitarian aid. There are no other specific countries or regions mentioned alongside Gaza in relation to UK humanitar...
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,8,,,"The debates mention several countries and regions where the UK provided humanitarian aid. These include:

- Gaza (mentioned multiple times, including for constructing a temporary p..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,3,,,"The context mentions that the UK has been sending humanitarian aid to Gaza, Egypt, and possibly other countries or regions involved in the conflict. Specific details about other re..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,5,,,The countries or regions mentioned as receiving UK humanitarian aid in the debates are Gaza and Afghanistan....
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,8,,,"The countries or regions mentioned as receiving UK humanitarian aid include Gaza, Afghanistan, Sudan, Libya, the Sahel, south Asia, Nigeria, and Syria. These are indicated from var..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,3,,,"The context mentions Sudan, Adré crossing between Chad and Sudan, Gaza in Palestine, and Occupied Palestinian Territories. No specific mention was made of direct recipients for UK ..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,5,,,"The UK humanitarian aid was mentioned to be received by Palestinians in Gaza, Afghan citizens under the ARAP scheme, and undocumented and temporary visa-bearing Afghan refugees in ..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,fixed,,8,,,"The debates mentioned several countries and regions that received UK humanitarian aid, including:

- Gaza (referred to multiple times, primarily in connection with the situation in..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,3,,,The context does not contain this information....
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,5,,,"The countries or regions mentioned as receiving UK humanitarian aid in the debates are:

- Occupied Palestinian Territories (mentioned multiple times)
- Sudan
- Middle East (indica..."
factual,CUS_F1,Which countries or regions were mentioned as receiving UK humanitarian aid in the debates?,child,,8,,,"The following countries and regions were mentioned as receiving UK humanitarian aid:

- Occupied Palestinian Territories (OPT)
- Sudan
- Libya
- Syria
- Turkey
- Israel

These ment..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,3,,,"The speech dates are: 2024-02-19, 2025-01-23, 2025-10-28. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,5,,,"The speech dates are: 2024-02-19, 2024-04-17, 2024-07-19, 2025-01-23, 2025-10-28. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,8,,,"The speech dates are: 2024-02-19, 2024-02-21, 2024-03-19, 2024-04-17, 2024-07-19, 2025-01-23, 2025-10-28. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,3,,,"The speech dates are: 2025-09-02, 2025-10-28, 2025-10-30. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,5,,,"The speech dates are: 2023-12-04, 2025-01-23, 2025-09-02, 2025-10-28, 2025-10-30. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,8,,,"The speech dates are: 2023-10-23, 2023-12-04, 2024-01-24, 2025-01-23, 2025-02-06, 2025-09-02, 2025-10-28, 2025-10-30. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,3,,,"The speech dates are: 2025-02-06, 2025-02-25, 2025-04-02. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,5,,,"The speech dates are: 2023-09-14, 2024-01-30, 2025-02-06, 2025-02-25, 2025-04-02. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",fixed,,8,,,"The speech dates are: 2023-09-14, 2024-01-30, 2024-07-19, 2024-10-09, 2025-02-06, 2025-02-25, 2025-04-02, 2025-09-02. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,3,,,"The speech dates are: 2024-04-22, 2025-07-16. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,5,,,"The speech dates are: 2024-04-22, 2025-07-16, 2025-09-02, 2025-10-29. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F2,"What specific funding amounts (in pounds) were announced for humanitarian assistance, and on what dates?",child,,8,,,"The speech dates are: 2023-11-21, 2023-12-12, 2024-04-22, 2024-05-15, 2025-07-16, 2025-09-02, 2025-10-29. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,3,,,"The following ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis:

- The UK Government (in various documents)
- The Min..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,5,,,"The Ministers or government departments mentioned in the context as being responsible for managing the response to the Sudan crisis are:

- The Minister for Africa (in [Doc 2])
- T..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,8,,,"Several government departments and ministers have been involved in managing the response to the Sudan crisis based on the documents provided:

1. International Development Departme..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,3,,,The context does not contain this information....
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,5,,,"The ministers or government departments mentioned as responsible for managing the response to the Sudan crisis include:

- The Foreign, Commonwealth and Development Office (FCDO) -..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,8,,,"The ministers and government departments mentioned as responsible for managing the response to the Sudan crisis include:

- The Foreign Secretary
- The Under-Secretary of State for..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,3,,,"The context mentions that the Foreign Secretary was involved in managing the response to the Sudan crisis. Specifically, it states ""I recently visited the Adré border with the Chad..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,5,,,"The London Sudan conference, which involved Egypt, the Kingdom of Saudi Arabia, the UAE, Qatar, South Sudan, Chad, Kenya, Ethiopia, and Uganda, was convened by the Foreign Secretar..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,fixed,,8,,,"The document mentions several ministers and government departments responsible for managing the response to the Sudan crisis:

1. The Deputy Foreign Secretary (also referred to as ..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,3,,,"The context mentions several ministers and government departments involved in the response to the Sudan crisis. These include:

- The Minister, who is part of the UK Government.
- ..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,5,,,"The following ministers and government departments were mentioned as responsible for managing the response to the Sudan crisis:

- The Minister (in [Doc 1])
- The Foreign Secretary..."
factual,CUS_F3,Which ministers or government departments were mentioned as responsible for managing the response to the Sudan crisis?,child,,8,,,The Foreign Secretary and Development Ministers from several countries have been involved in the UK's response to the Sudan crisis. The Minister has also taken part in meetings wit...
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,3,,,"The speech dates are: 2024-03-12, 2024-07-30, 2025-04-28. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,5,,,"The speech dates are: 2023-10-23, 2024-03-12, 2024-07-30, 2025-04-28. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,8,,,"The speech dates are: 2023-10-23, 2024-03-12, 2024-07-30, 2025-01-13, 2025-04-02, 2025-04-28. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,child,,3,,,"The speech dates are: 2024-03-12, 2024-11-28. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,child,,5,,,"The speech dates are: 2024-03-12, 2024-07-30, 2024-11-28, 2025-04-02. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,child,,8,,,"The speech dates are: 2024-03-12, 2024-04-15, 2024-07-30, 2024-09-11, 2024-11-28, 2025-04-02. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,3,,,"The speech date is 2024-03-19. (Doc 1, Doc 2, Doc 3)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,5,,,"The speech dates are: 2024-03-19, 2024-07-19, 2025-03-04. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,CUS_F4,What dates were mentioned regarding decisions to resume or suspend funding to UNRWA?,fixed,,8,,,"The speech dates are: 2024-03-12, 2024-03-19, 2024-07-19, 2024-11-26, 2025-03-04, 2025-04-03. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
