query_type,query_id,query,chunking,repr,k,retrieved_files,retrieved_chunk_ids,answer_preview
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,3,,,"The speech dates are: 2024-04-17, 2024-05-22, 2025-04-29. (Doc 1, Doc 2, Doc 3)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,5,,,"The speech dates are: 2023-11-07, 2024-04-17, 2024-05-22, 2024-07-17, 2025-04-29. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,8,,,"The speech dates are: 2023-07-19, 2023-11-07, 2023-11-15, 2024-04-17, 2024-05-15, 2024-05-22, 2024-07-17, 2025-04-29. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,3,,,"The speech dates are: 2024-10-07, 2024-10-28, 2024-12-05. (Doc 1, Doc 2, Doc 3)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,5,,,"The speech dates are: 2024-10-07, 2024-10-28, 2024-12-05, 2025-03-03, 2025-03-18. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,8,,,"The speech dates are: 2024-07-25, 2024-10-07, 2024-10-28, 2024-10-30, 2024-12-05, 2025-03-03, 2025-03-18. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,3,,,"The speech dates are: 2024-03-11, 2024-11-11. (Doc 1, Doc 2, Doc 3)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,5,,,"The speech dates are: 2024-03-11, 2024-11-11, 2025-02-25. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,fixed,,8,,,"The speech dates are: 2024-03-11, 2024-11-11, 2024-11-26, 2025-02-25, 2025-09-08. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,3,,,"The speech dates are: 2024-03-11, 2024-05-20, 2024-10-09. (Doc 1, Doc 2, Doc 3)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,5,,,"The speech dates are: 2024-03-11, 2024-05-20, 2024-10-09, 2025-01-15. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5)..."
factual,REQ_F1,On what dates did the British Prime Minister deliver his speech on the defense budget?,child,,8,,,"The speech dates are: 2023-11-28, 2024-03-11, 2024-05-20, 2024-10-09, 2025-01-15, 2025-01-24, 2025-03-26. (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, Doc 7, Doc 8)..."
